id,node_id,position
6000331,34397756,8
6000331,34502487,9
6000331,34500762,10
6000331,34501835,11
6000331,34397653,12
6000331,34501817,13
6000331,34500755,14
6000331,34502577,15
6000331,34502522,16
6000467,33382413,0
6000467,992279087,1
6000467,992279178,2
6000467,992279123,3
6000467,33386789,4
6000498,33816703,0
6000498,33457028,1
6000498,33457140,2
6000498,34657503,3
6000498,33631574,4
6000544,248968335,0
6000544,1475234862,1
6000544,247396819,2
6000544,1475234850,3
6000544,247396820,4
6000544,247396821,5
6000544,1719863187,6
6000544,247396822,7
6000544,247396823,8
6000544,247396824,9
6000544,247396825,10
6000544,247396826,11
6000544,1701133088,12
6000544,1701133086,13
6000544,247396827,14
6000544,247396828,15
6000544,247396829,16
6000544,247396830,17
6000544,247396832,18
6000544,1475569301,19
6000544,247396833,20
6000544,606286349,21
6000544,606286351,22
6000544,2485685706,23
6000544,1475569295,24
6000544,247396834,25
6000639,33378399,0
6000639,836007111,1
6000639,33380037,2
6001430,34183291,0
6001430,711289482,1
6001430,34175013,2
6001430,34183311,3
6001490,33310406,0
6001490,4931397397,1
6001490,33310405,2
6001490,33310404,3
6001490,33310403,4
6001490,33310402,5
6001490,33310401,6
6001490,33310400,7
6001490,33310399,8
6001490,33310398,9
6001490,33310397,10
6001490,33310396,11
6001490,33310395,12
6002952,34647799,0
6002952,34498926,1
6002952,33311684,2
6002952,33311710,3
6002952,33311722,4
6002952,33747591,5
6002952,33743663,6
6002952,33747491,7
6002952,33738737,8
6002952,33747018,9
6002952,34196971,10
6002952,34195327,11
6002952,34199086,12
6002952,34195448,13
6002952,34195441,14
6002952,34197242,15
6002952,34197257,16
6002952,34388968,17
6002952,34195516,18
6002952,34390009,19
6002952,34195546,20
6002952,34382024,21
6002952,34388962,22
6002952,34195513,23
6002952,34386741,24
6002952,34499081,25
6002952,34498939,26
6002952,34191650,27
6002952,34499286,28
6002952,34498214,29
6002952,34381009,30
6003433,33328342,0
6003433,33328428,1
6003564,34384487,0
6003564,33493271,1
6003684,33378322,0
6003684,33827513,1
6003684,33803371,2
6003743,33802505,0
6003743,33821242,1
6003743,33852241,2
6003743,33841188,3
6003743,33852165,4
6003743,33842693,5
6003803,33387892,0
6003803,33387980,1
6003803,33420531,2
6003873,33809000,0
6003873,33731259,1
6003873,33739039,2
6003873,33739044,3
6003873,33741175,4
6003873,33741195,5
6003873,33737036,6
6003873,33737042,7
6003873,33736202,8
6003873,33736180,9
6003873,33737050,10
6003873,34173560,11
6003873,33749917,12
